,conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
211,a,16.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,agree,somehow agree,public,hayat,30-60,middle child,0.0,nazreth,eth-lang,yes,8.0,authoritative,0.0,none,3.75,95.0,94.93,,,85.62,77.07,,,,,94.93,,81.18,80.4,87.4,94.4,84.3,83.47,85.05,90.43,89.1,84.6,highschool
212,a,17.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,somehow agree,agree,somehow agree,public,jemo,60+,first child,3.0,abay,eth-lang,no,6.0,authoritarian,0.0,none,3.25,98.33,98.14,,,98.54,99.63,,,,,90.18,,97.0,101.6,97.6,98.0,99.37,96.59,98.58,93.86,99.06,98.1,highschool
213,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,agree,disagree,strongly disagree,private,kolfe,15-,first child,3.0,st theresa,for-lang,yes,5.5,authoritarian,0.0,none,2.5,91.35374269005852,88.43,,,87.0,94.5,,,,,91.68,,85.3,92.7,89.5,95.4,92.3,87.9,78.2,92.14,89.0,89.0,highschool
214,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,sefera,60+,first child,2.0,abay,eth-lang,no,5.5,authoritative,0.0,none,4.5,90.67,96.29,,,94.85,92.9,,,,,90.43,,85.3,93.23,89.6,84.7,91.66,82.3,84.93,90.57,86.36,88.9,highschool
215,b,16.0,f,ethiopian,ethiopia,no,10,scholarship,mother,not much,somehow agree,agree,strongly disagree,service,gelan,30-60,first child,0.0,embutoch,eth-lang,no,8.0,authoritarian,0.0,emopsy,2.25,85.67,87.07,,,83.5,60.01,,,,,84.18,,70.8,72.45,75.4,70.67,71.54,68.04,66.5,72.69,87.5,71.0,highschool
216,a,16.0,f,yemeni,ethiopia,no,11,paid,mother,a lot,somehow agree,somehow agree,somehow agree,private,alemgena,60+,last child,0.0,school of nations,for-lang,yes,6.0,authoritative,0.0,none,3.0,94.92,0.0,,,87.4,66.96,,,,,90.43,,,,77.8,90.18,,76.11,87.45,88.86,96.0,82.9,highschool
217,a,19.0,f,ethiopian,ethiopia,no,11,paid,both,little,somehow agree,somehow agree,somehow agree,private,torhailoch,15-30,middle child,0.0,mekanisa abadir,eth-lang,yes,6.5,authoritative,0.0,none,2.75,91.17,88.61,,,86.8,78.44,,,,,93.57,,,,85.6,74.92,,78.72,92.2,74.57,96.57,83.0,highschool
218,a,17.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly disagree,agree,private,lebu,30-60,middle child,0.0,intellectual,eth-lang,no,10.0,authoritative,0.0,none,3.25,92.08,85.93,,,91.8,66.33,,,,,93.29,,,,89.5,98.87,,83.94,96.36,95.43,90.5,86.8,highschool
219,b,16.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,agree,strongly agree,public,gotera,15-30,first child,3.0,rice,eth-lang,yes,9.0,authoritative,0.0,none,4.25,73.44,84.61,,,86.6,63.67,,,,,81.86,,,,81.2,92.85,,78.89,78.26,90.29,81.36,76.9,highschool
220,a,17.0,f,ethiopian,ethiopia,no,11,paid,both,little,agree,agree,agree,service,megenagna,30-60,first child,3.0,mount olive,eth-lang,no,8.0,authoritative,0.0,none,3.5,92.69,90.93,,,90.9,61.21,,,,,94.43,,,,87.2,94.33,,75.83,92.3,83.36,95.93,81.1,highschool
221,a,15.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,disagree,agree,private,sarbet,15-,middle child,3.0,school of tomorrow,eth-lang,yes,8.0,authoritative,0.0,none,3.25,97.17,86.79,,,85.95,74.22,,,,,91.14,,,,90.4,94.82,,95.17,97.13,84.32,96.79,89.6,highschool
222,a,16.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,agree,strongly agree,private,bole,15-30,middle child,3.0,andinet,eth-lang,yes,8.0,authoritative,0.0,none,4.0,85.26,83.29,,,82.0,77.46,,,,,92.14,,,,88.1,86.21,,93.17,97.45,91.71,92.57,89.0,highschool
223,a,16.0,f,ethiopian,ethiopia,no,11,scholarship,mother,a lot,strongly agree,somehow agree,disagree,service,gerji,60+,last child,1.0,safari,eth-lang,no,5.0,authoritative,0.0,none,3.25,94.19,93.5,,,92.6,88.9,,,,,93.71,,,,94.2,97.97,,94.89,94.66,95.71,95.79,93.7,highschool
224,a,17.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,agree,agree,agree,private,musena,15-,last child,3.0,school of nations,eth-lang,no,6.0,authoritative,0.0,none,3.75,94.92,88.79,,,97.6,74.34,,,,,93.86,,,,92.7,97.41,,95.72,96.46,95.43,92.32,91.4,highschool
225,a,17.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,agree,strongly agree,private,musena,15-,middle child,3.0,gss,eth-lang,yes,7.5,authoritative,0.0,none,4.0,83.76,83.86,,,84.8,67.46,,,,,94.29,,,,81.8,75.89,,73.72,86.21,82.0,85.57,78.6,highschool
226,a,17.0,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,first child,1.0,stanford,eth-lang,no,5.0,authoritative,0.0,none,4.5,90.44,96.0,,,91.6,70.34,,,,,89.0,,,,91.0,93.81,,98.22,94.84,93.86,92.0,89.5,highschool
227,a,16.0,f,ethiopian,ethiopia,no,11,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,middle child,0.0,gibson,eth-lang,no,8.0,authoritative,0.0,none,4.5,94.92,89.68,,,89.6,63.57,,,,,90.29,,,,87.6,95.03,,78.61,91.78,84.57,98.36,82.7,highschool
228,b,17.0,m,american,ethiopia,yes,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,paulos,15-30,middle child,2.0,greek school,for-lang,yes,8.0,authoritative,0.0,none,4.5,94.17,4.0,,,91.2,69.58,,,,,96.14,,,,81.1,93.44,,90.11,95.37,86.0,91.29,87.0,highschool
229,a,17.0,f,ethiopian,ethiopia,yes,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,jemo,30-60,first child,0.0,gibson,eth-lang,yes,6.5,authoritarian,1.0,none,4.5,95.67,90.04,,,93.2,79.28,,,,,86.71,,,,89.1,94.25,,79.17,89.67,88.86,94.64,86.5,highschool
230,a,16.0,f,ethiopian,ethiopia,no,11,paid,mother,a lot,somehow agree,strongly disagree,strongly disagree,service,jemo,30-60,last child,0.0,mark,eth-lang,yes,8.5,authoritarian,1.0,none,2.0,90.44,87.61,,,88.0,81.4,,,,,91.43,,,,89.0,91.04,,81.33,93.08,93.0,92.5,87.9,highschool
231,a,16.0,m,british,ethiopia,no,11,scholarship,both,a lot,strongly agree,agree,agree,public,sarbet,15-30,first child,3.0,greek school,for-lang,yes,10.0,authoritative,0.0,none,4.0,77.87,38.18,,,88.6,59.84,,,,,97.0,,,,78.9,97.52,,81.0,85.19,87.71,76.09,78.3,highschool
232,a,17.0,m,american,ethiopia,yes,11,paid,both,a lot,strongly agree,somehow agree,somehow agree,private,gerji,30-60,last child,3.0,allen,for-lang,yes,8.0,authoritative,0.0,none,3.5,94.19,5.0,,,95.8,63.89,,,,,97.86,,,,80.2,98.64,,74.56,90.81,90.71,90.64,82.8,highschool
233,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,agree,agree,somehow agree,private,sarbet,15-,last child,2.0,school of tomorrow,eth-lang,no,7.0,authoritative,1.0,none,3.5,95.69,83.43,,,87.6,79.25,,,,,88.86,,,,85.9,92.33,,74.72,86.18,81.71,89.57,83.5,highschool
234,a,16.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,german square,30-60,first child,3.0,intellectual,eth-lang,yes,8.0,authoritative,0.0,none,4.0,89.69,86.04,,,90.51,77.17,,,,,89.86,,,,86.4,86.52,,77.17,86.22,95.14,85.63,85.1,highschool
235,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,2.0,intellectual,eth-lang,yes,7.0,authoritative,0.0,none,4.5,84.55,91.93,,,94.33,82.4,,,,,93.71,,90.03,81.32,89.7,94.56,88.47,,,96.14,,87.2,highschool
236,a,17.0,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,kazanchis,30-60,middle child,0.0,kebena adventist,eth-lang,no,6.0,authoritative,0.0,none,4.5,97.92,98.5,,,100.0,97.73,,,,,100.0,,100.0,94.98,98.4,97.76,97.26,,,99.57,,97.9,highschool
237,a,17.0,f,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,agree,public,lafto,30-60,middle child,2.0,tehadso,eth-lang,yes,7.0,authoritative,0.0,none,4.25,96.42,97.68,,,99.6,95.22,,,,,95.71,,98.54,96.06,97.4,97.95,97.86,,,99.0,,97.2,highschool
238,a,16.0,m,ethiopian,ethiopia,no,11,scholarship,mother,little,agree,agree,agree,public,abado,60+,last child,3.0,meskaye,eth-lang,no,8.0,authoritative,0.0,none,3.5,92.75,94.68,,,98.0,86.94,,,,,97.43,,96.67,82.19,93.4,96.59,95.96,,,92.71,,91.2,highschool
239,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,agree,strongly agree,somehow agree,service,tuludimtu,60+,middle child,2.0,gibson,eth-lang,no,5.5,authoritative,0.0,none,3.75,93.5,95.75,,,95.93,84.74,,,,,97.43,,96.67,87.78,93.7,96.38,92.29,,,96.14,,91.9,highschool
240,a,17.0,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,agree,agree,strongly agree,public,haile garment,30-60,last child,2.0,hidase,eth-lang,no,7.0,authoritative,0.0,none,4.0,89.0,95.68,,,97.73,96.58,,,,,94.86,,98.33,85.72,94.6,96.38,93.57,,,98.57,,93.6,highschool
241,b,18.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,somehow agree,disagree,disagree,private,sarbet,30-60,first child,3.0,gibson,eth-lang,no,6.0,authoritarian,1.0,emotional,2.5,83.1,86.93,,,91.62,72.62,,,,,92.0,,96.04,75.64,86.6,96.61,81.99,,,89.29,,83.1,highschool
242,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,torhailoch,15-,middle child,3.0,nobles,for-lang,yes,8.0,authoritative,0.0,none,4.5,88.28,43.93,,,90.0,77.64,,,,,96.29,,88.48,74.46,79.3,91.86,65.69,,,76.14,,78.4,highschool
243,a,16.0,f,ethiopian,ethiopia,no,11,paid,mother,a lot,strongly agree,strongly agree,strongly agree,service,lebu,15-30,last child,3.0,gibson,eth-lang,no,6.5,authoritative,0.0,none,4.5,92.75,92.36,,,96.4,87.73,,,,,98.29,,92.05,86.61,93.7,99.32,91.89,,,99.14,,91.7,highschool
244,a,17.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,somehow agree,public,mehandis,30-60,first child,3.0,abune gorgorios,eth-lang,no,9.0,authoritative,0.0,none,4.0,94.19,96.93,,,97.2,97.29,,,,,98.14,,97.71,94.06,96.3,97.53,91.79,,,98.14,,95.5,highschool
245,b,17.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,3.0,andinet,eth-lang,yes,8.0,authoritative,0.0,none,4.5,95.76,84.79,,,91.93,83.18,,,,,96.14,,92.92,79.23,90.3,97.27,86.04,,,96.14,,88.9,highschool
246,a,17.0,f,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,jemo,30-60,last child,3.0,jemo 2,eth-lang,no,8.0,authoritative,0.0,none,4.5,96.5,98.0,,,93.2,79.12,,,,,93.57,,98.33,80.59,92.1,96.84,90.74,,,94.43,,90.0,highschool
247,a,18.0,f,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,agree,agree,private,anfo,15-30,last child,3.0,gibson,eth-lang,no,7.0,authoritative,0.0,none,4.0,95.1,95.16,,,94.27,93.07,,,,,96.13,,99.71,93.91,95.3,96.38,95.16,,,94.37,,95.2,highschool
248,a,18.0,m,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,first child,3.0,southwest,eth-lang,no,6.0,authoritative,0.0,none,4.5,84.87,79.25,,,88.13,71.31,,,,,93.13,,83.47,68.89,82.7,90.89,79.25,,,87.75,,79.3,highschool
249,b,17.0,m,ethiopian,ethiopia,yes,12,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,last child,3.0,intellectual,eth-lang,yes,8.0,authoritative,0.0,none,4.5,76.22,77.46,,,93.35,71.01,,,,,96.13,,83.49,66.8,81.3,93.59,77.46,,,77.52,,75.4,highschool
250,a,18.0,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,agree,service,lafto,60+,first child,0.0,southwest,eth-lang,no,6.0,authoritative,1.0,none,3.75,93.3,90.63,,,94.5,83.35,,,,,88.13,,96.39,76.63,90.3,96.07,90.63,,,93.77,,89.0,highschool
251,b,17.0,m,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,agree,private,sefereselam,15-30,last child,3.0,gibson,eth-lang,yes,8.0,authoritative,0.0,none,4.25,83.0,70.3,,,82.13,62.02,,,,,81.88,,71.43,52.52,75.0,89.44,70.3,,,87.32,,71.1,highschool
252,a,17.0,f,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,agree,private,ayertena,15-30,first child,0.0,gibson,eth-lang,no,7.0,authoritative,0.0,none,4.25,90.2,83.42,,,91.69,67.47,,,,,86.63,,90.37,78.57,85.3,95.37,83.42,,,86.35,,82.7,highschool
253,a,17.0,m,ethiopian,ethiopia,no,12,scholarship,both,little,agree,strongly agree,somehow agree,service,kality,30-60,first child,0.0,alem birhan,eth-lang,yes,5.0,authoritative,1.0,none,3.5,89.5,82.52,,,97.23,93.09,,,,,96.13,,90.35,83.79,89.6,93.95,82.52,,,87.37,,87.8,highschool
254,a,17.0,f,ethiopian,ethiopia,no,12,paid,both,little,agree,somehow agree,somehow agree,private,lebu,15-,first child,0.0,intellectual,eth-lang,no,8.0,authoritative,0.0,none,3.0,90.85,78.11,,,85.37,79.86,,,,,88.13,,88.06,76.0,84.5,99.25,78.11,,,80.95,,82.3,highschool
255,a,17.0,m,ethiopian,ethiopia,no,12,scholarship,both,a lot,strongly agree,agree,agree,public,kality,60+,first child,0.0,mhm,eth-lang,no,3.0,authoritative,1.0,none,4.0,71.12,70.53,,,89.85,79.95,,,,,96.63,,90.48,80.97,81.7,78.68,70.53,,,88.37,,80.2,highschool
256,a,17.0,f,ethiopian,ethiopia,no,12,scholarship,other,a lot,strongly agree,strongly agree,strongly agree,service,bole michael,30-60,first child,1.0,tadagiwa,eth-lang,no,5.0,authoritative,1.0,none,4.5,71.07,74.0,,,82.13,67.15,,,,,89.63,,84.33,71.58,74.1,50.8,74.0,,,75.93,,74.0,highschool
257,a,17.0,m,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,agree,private,sarbet,30-60,first child,2.0,intellectual,eth-lang,no,7.0,authoritative,0.0,none,4.25,83.22,74.92,,,93.21,66.49,,,,,92.13,,85.43,61.8,81.6,94.71,74.92,,,89.38,,76.9,highschool
258,a,19.0,m,ethiopian,ethiopia,yes,12,scholarship,father,little,agree,strongly agree,strongly agree,public,tuludimtu,60+,first child,2.0,tuludimtu,eth-lang,no,5.0,authoritative,0.0,none,4.0,89.3,81.16,,,92.15,79.74,,,,,94.63,,88.16,77.72,87.0,92.91,81.16,,,92.77,,84.8,highschool
259,a,17.0,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lafto,60+,middle child,0.0,southwest,eth-lang,no,4.0,authoritative,0.0,none,4.5,92.5,80.56,,,94.5,67.52,,,,,94.63,,90.6,80.63,87.2,96.82,80.56,,,93.35,,84.2,highschool
260,a,18.0,f,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,somehow agree,agree,service,mekanisa,15-30,first child,3.0,gibson,eth-lang,no,7.0,authoritarian,1.0,none,3.75,90.83,83.89,,,86.75,62.76,,,,,94.63,,86.31,76.2,84.6,99.13,83.89,,,81.52,,80.3,highschool
261,b,18.0,m,ethiopian,ethiopia,no,12,paid,both,a lot,agree,strongly agree,strongly agree,private,mekanisa,15-,last child,3.0,dandii boru,eth-lang,no,7.0,authoritative,1.0,none,4.25,70.12,73.36,,,78.9,75.39,,,,,99.13,,87.56,70.84,80.6,88.49,73.36,,,88.52,,77.6,highschool
262,a,17.0,f,american,ethiopia,no,12,paid,both,a lot,agree,strongly agree,agree,service,haile garment,60+,middle child,3.0,gibson,eth-lang,no,8.0,authoritative,0.0,none,4.0,94.2,81.31,,,86.42,85.2,,,,,96.88,,89.62,96.15,90.3,96.82,81.31,,,94.78,,90.2,highschool
263,a,18.0,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,tuludimtu,60+,last child,3.0,tuludimtu,eth-lang,no,5.5,authoritative,0.0,none,4.5,88.13,81.7,,,88.96,89.56,,,,,99.13,,86.43,86.53,88.8,96.01,81.7,,,90.33,,87.1,highschool
264,b,17.0,m,ethiopian,ethiopia,no,12,scholarship,mother,not much,strongly disagree,disagree,strongly disagree,public,haile garment,60+,last child,0.0,hidase,eth-lang,no,9.0,authoritarian,0.0,none,1.25,78.92,95.5,,,100.46,89.8,,,,,96.25,,90.79,77.84,89.7,88.6,84.46,,,94.37,,86.0,highschool
265,a,18.0,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,somehow agree,service,haile garment,60+,last child,0.0,bgis,eth-lang,no,7.0,authoritative,0.0,none,3.5,94.85,97.0,,,96.77,78.17,,,,,97.75,,91.62,73.65,89.9,93.23,85.08,,,90.77,,85.7,highschool
266,a,18.0,m,ethiopian,ethiopia,no,12,scholarship,other,little,disagree,strongly disagree,disagree,public,haile garment,60+,first child,1.0,hidase,eth-lang,no,6.0,authoritative,0.0,none,1.75,88.75,98.5,,,97.83,95.96,,,,,97.75,,92.21,87.42,94.5,97.95,89.52,,,99.0,,92.1,highschool
267,b,18.0,m,ethiopian,ethiopia,yes,12,scholarship,both,a lot,strongly agree,agree,somehow agree,public,tuludimtu,60+,first child,3.0,kotari,eth-lang,no,5.0,authoritative,0.0,none,3.75,77.82,96.5,,,96.15,87.79,,,,,96.25,,92.85,79.44,89.4,95.96,83.26,,,87.58,,84.8,highschool
268,a,17.0,f,ethiopian,ethiopia,no,12,scholarship,mother,little,agree,somehow agree,somehow agree,service,lebu,60+,first child,0.0,stanford,eth-lang,no,6.0,authoritative,1.0,"emo,psy",3.0,89.98,97.5,,,92.31,71.53,,,,,96.25,,90.23,78.71,89.6,98.24,90.17,,,90.8,,85.2,highschool
269,b,18.0,m,ethiopian,ethiopia,no,12,scholarship,other,a lot,agree,agree,strongly agree,public,tuludimtu,60+,first child,3.0,school of tomorrow,for-lang,no,8.0,authoritative,1.0,x,4.0,69.87,74.5,,,86.27,62.87,,,,,94.75,,84.04,59.96,76.6,84.85,71.52,,,77.43,,70.9,highschool
270,a,17.0,f,ethiopian,ethiopia,no,12,scholarship,both,little,somehow agree,strongly agree,strongly agree,service,tuludimtu,60+,first child,2.0,menbere hiwot,eth-lang,no,6.0,authoritative,1.0,"emo,psy",3.75,88.28,94.5,,,87.34,76.85,,,,,94.25,,85.62,79.36,87.3,96.09,85.71,,,84.98,,83.5,highschool
271,a,20.0,f,ethiopian,ethiopia,no,12,scholarship,other,not much,agree,somehow agree,strongly agree,public,jemo,60+,middle child,0.0,abay,eth-lang,no,5.0,authoritative,1.0,"emo,psy",3.25,85.53,98.0,,,90.85,83.07,,,,,96.25,,92.04,73.45,90.0,99.13,91.02,,,90.95,,86.0,highschool
272,c,17.0,m,ethiopian,ethiopia,yes,12,scholarship,both,a lot,strongly agree,agree,agree,private,bethel,15-30,last child,3.0,intellectual,eth-lang,yes,7.0,authoritative,0.0,phypsy,4.0,84.58,92.5,,,96.9,63.55,,,,,94.75,,82.43,69.07,82.5,93.76,59.86,,,87.7,,74.5,highschool
273,b,18.0,m,american,ethiopia,no,12,paid,father,a lot,strongly agree,strongly agree,agree,private,gerji,30-60,first child,3.0,jfk,eth-lang,yes,7.0,permissive,1.0,phyemopsy,4.25,73.42,87.4365882352942,,,85.35,79.3472514619883,,,,,95.25,,,,80.4,85.52,,80.0,67.37,78.83,77.11,74.9,highschool
274,a,18.0,m,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,strongly agree,service,kality,30-60,last child,0.0,alembank,eth-lang,no,6.0,authoritative,0.0,none,4.0,84.5,95.5,,,95.76,76.75,,,,,94.75,,,,89.3,93.16,,86.62,86.33,91.32,88.73,85.1,highschool
275,a,16.0,f,british,ethiopia,yes,12,paid,both,a lot,strongly agree,strongly agree,agree,private,mekanisa,15-30,first child,1.0,swedish,for-lang,yes,5.0,permissive,0.0,none,4.25,88.6,87.4365882352942,,,52.85,64.79,,,,,90.75,,,,80.1,92.22,,77.24,83.96,80.05,90.11,78.9,highschool
276,b,19.0,f,ethiopian,ethiopia,no,12,paid,other,a lot,agree,somehow agree,agree,private,lebu,30-60,last child,0.0,dandii boru,eth-lang,no,6.0,authoritative,0.0,none,3.5,77.32,95.5,,,91.5,61.1,,,,,82.43,,,,82.7,89.49,,77.16,89.02,76.2,86.84,76.2,highschool
277,a,18.0,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,agree,service,jemo,30-60,first child,0.0,abay,eth-lang,no,4.0,authoritative,0.0,none,3.75,87.8,97.0,,,94.55,62.29,,,,,94.25,,,,88.4,94.13,,88.13,90.31,87.37,87.73,83.2,highschool
278,b,18.0,f,ethiopian,ethiopia,no,12,paid,both,little,agree,disagree,somehow agree,private,mekanisa,15-30,middle child,2.0,spring of knowledge,eth-lang,yes,6.5,authoritarian,0.0,none,2.75,94.55,79.0,,,82.82,59.99,,,,,81.75,,,,81.9,95.43,,75.91,83.9,77.37,88.57,78.3,highschool
279,a,17.0,m,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,strongly agree,strongly agree,public,kality,60+,last child,0.0,alem birhan,eth-lang,no,4.5,authoritarian,0.0,none,4.25,70.92,80.0,,,96.31,70.61,,,,,97.75,,,,85.2,87.85,,90.67,81.5,93.35,83.46,81.4,highschool
280,a,18.0,f,ethiopian,ethiopia,yes,12,paid,both,little,somehow agree,agree,disagree,private,lebu,30-60,first child,2.0,southwest,eth-lang,no,8.0,authoritative,1.0,emoxpsy,2.75,90.83,92.5,,,89.52,81.17,,,,,93.75,,,,89.7,96.06,,84.71,89.92,90.37,87.98,87.4,highschool
281,b,18.0,f,italian,ethiopia,no,12,paid,mother,not much,strongly agree,strongly agree,somehow agree,private,gerji,30-60,last child,0.0,andinet,for-lang,no,10.0,authoritarian,1.0,"emo,psy",3.5,67.67,68.0,,,81.18,27.53,,,,,60.25,,,,63.7,65.83,,68.46,72.64,71.08,54.73,61.5,highschool
282,b,17.0,f,ethiopian,ethiopia,no,12,paid,both,a lot,agree,somehow agree,agree,service,jemo,30-60,middle child,1.0,school of nations,eth-lang,no,8.0,authoritative,0.0,none,3.5,92.25,94.5,,,91.73,74.35,,,,,94.75,,,,89.5,93.07,,83.29,91.94,88.78,90.61,86.1,highschool
283,b,18.0,f,ethiopian,ethiopia,no,12,paid,both,a lot,agree,somehow agree,agree,private,bole bulbula,30-60,middle child,0.0,character hallmark,eth-lang,no,6.0,authoritative,0.0,none,3.5,79.77,79.5,,,91.42,66.71,,,,,81.75,,,,83.4,96.5,,77.82,89.68,83.32,87.04,79.5,highschool
284,a,17.0,f,canadian,ethiopia,yes,12,paid,both,little,somehow agree,agree,somehow agree,service,cmc,60+,middle child,0.0,scs,eth-lang,yes,5.5,authoritative,0.0,none,3.0,91.4,72.5,,,85.17,64.07,,,,,90.25,,,,84.2,93.07,,79.02,89.55,91.92,84.82,83.2,highschool
285,a,18.0,f,ethiopian,ethiopia,yes,12,paid,both,a lot,strongly agree,somehow agree,somehow agree,private,sarbet,15-30,last child,2.0,intellectual,eth-lang,yes,7.0,authoritative,1.0,emotional,3.5,77.82,81.0,,,87.8,65.91,,,,,92.75,,,,82.9,91.37,,77.47,87.2,86.18,81.16,78.9,highschool
286,a,18.0,m,ethiopian,ethiopia,no,12,paid,both,a lot,agree,agree,agree,private,bole,30-60,first child,3.0,andinet,eth-lang,yes,8.0,authoritative,0.0,none,3.75,86.53,88.5,,,89.7,72.3,,,,,94.7,,,,86.6,86.65,,85.6,86.3,88.95,86.36,83.9,highschool
